"","model","name","elpd_diff","se_diff"
"8",8,"SEASON+CYCLE+YEAR+YEAR2+CYCLE:YEAR+CYCLE:YEAR2",0,0
"5",5,"CYCLE",-0.6,1.8
"7",7,"CYCLE+YEAR+CYCLE:YEAR",-1.1,1.8
"12",12,"SEASON+CYCLE",-1.3,1.7
"11",11,"SEASON+CYCLE+YEAR",-1.6,1.7
"4",4,"CYCLE+YEAR",-2.5,1.8
"6",6,"NULL",-2.6,1.8
"1",1,"CYCLE+YEAR+YEAR2+CYCLE:YEAR+CYCLE:YEAR2",-2.8,1.6
"2",2,"CYCLE+YEAR+YEAR2+CYCLE:YEAR",-2.9,1.6
"14",14,"SEASON+CYCLE+YEAR+CYCLE:YEAR",-2.9,1.9
"3",3,"CYCLE+YEAR+YEAR2",-3,1.8
"9",9,"SEASON+CYCLE+YEAR+YEAR2+CYCLE:YEAR",-3.1,1.2
"10",10,"SEASON+CYCLE+YEAR+YEAR2",-3.2,1.7
"13",13,"SEASON",-3.3,1.6
